id;position;sector;company;description;minimum_job_experience;talent_quota;job_type;location
5;Product Engineer;Edukasi;Dicoding Dev;<h2><strong>Deskripsi Pekerjaan</strong></h2><p><br></p><p>Sebagai [Posisi Lowongan], Anda akan berpartisipasi dalam proses pembangunan aplikasi yang sedang dibangun di dalam perusahaan [Nama Perusahaan]. Anda juga diharapkan mampu bekerja di dalam tim.</p><p><br></p><h2><strong>Responsibilities</strong></h2><p><br></p><ul><li>Membuat atau memodifikasi program yang sudah ada.</li><li>Bertanggung jawab dalam mengelola program.</li></ul>;four_to_five_years;1;full_time;Kota Bandung
200;Product Engineer;Edukasi;Dicoding Dev;<h2><strong>Deskripsi Pekerjaan</strong></h2><p><br></p><p>Sebagai [Posisi Lowongan], Anda akan berpartisipasi dalam proses pembangunan aplikasi yang sedang dibangun di dalam perusahaan [Nama Perusahaan]. Anda juga diharapkan mampu bekerja di dalam tim.</p><p><br></p><h2><strong>Responsibilities</strong></h2><p><br></p><ul><li>Membuat atau memodifikasi program yang sudah ada.</li><li>Bertanggung jawab dalam mengelola program.</li></ul>;four_to_five_years;1;full_time;Kota Bandung
205;Product Engineer;Edukasi;Dicoding Dev;<h2><strong>Deskripsi Pekerjaan</strong></h2><p><br></p><p>Sebagai [Posisi Lowongan], Anda akan berpartisipasi dalam proses pembangunan aplikasi yang sedang dibangun di dalam perusahaan [Nama Perusahaan]. Anda juga diharapkan mampu bekerja di dalam tim.</p><p><br></p><h2><strong>Responsibilities</strong></h2><p><br></p><ul><li>Membuat atau memodifikasi program yang sudah ada.</li><li>Bertanggung jawab dalam mengelola program.</li></ul>;freshgraduate;1;part_time;Kota Banda Aceh
6013;Lowongan test;Edukasi;Dicoding Dev;<h2><strong>Deskripsi Pekerjaan</strong></h2><p>Sebagai [Posisi Lowongan], Anda akan berpartisipasi dalam proses pembangunan aplikasi yang sedang dibangun di dalam perusahaan [Nama Perusahaan]. Anda juga diharapkan mampu bekerja di dalam tim.</p><h2><strong>Responsibilities</strong></h2><ul><li>Membuat atau memodifikasi program yang sudah ada.</li><li>Bertanggung jawab dalam mengelola program.</li></ul>;freshgraduate;10;contractual;Kota Sukabumi
10;Digital Marketing Associate for Dicoding Jobs;Technology;Dicoding Indonesia;<h2><strong>Job Description</strong></h2><p><br></p><p>You will work at Dicoding, a company that provides globally recognized online education in the IT &amp programming sector and handles various developer events together with companies such as Google, Microsoft, IBM and Line.</p><p><br></p><p>Due to the quality of its curriculum, Dicoding has been accredited as the only Google Developers Authorized Training Partner in Indonesia and has partnered with various government agencies and top companies to provide hundreds of thousands of scholarships across Indonesia.</p><p><br></p><p><strong>Dicoding is not just a workplace but a place to have the opportunity to help build Indonesia's bright future.</strong></p><p><br></p><p>We are looking for people who have the same passion!</p><p><br></p><p>As a <strong>Digital Marketing Associate</strong> for Dicoding Jobs, you will be part of a new exciting team that will market our new service in connecting digital talents (graduates of Dicoding) with hiring companies.</p><p><br></p><p>Your work will include,</p><ul><li>Being responsible for all matters related to the marketing and branding of the new service in the social media platform.</li><li>Being involved in all phases of social media from brainstorming, execution, and observation to gain insights.</li><li>Being the face of the new serviceâ€™s social media platform.</li><li>Developing a plan for the promotion through digital channels.</li><li>Creating marketing campaign plans on digital channels as a whole.</li><li>Creating concepts and designing the distribution of content marketing campaigns on social media.</li><li>Maintaining and increasing product customer engagement through content delivery on social media.</li><li>Providing responses to any user's engagement on social media (comments, direct message, complaints, input, etc).</li><li>Measuring the success of marketing campaigns and showing the level of success of a campaign against the KPIs to be achieved (calculating ROI, etc.)</li><li>Conducting research to see advertising and market trends.</li><li>Ensuring content marketing goes in line with the company's marketing strategy.</li><li>Collaborating with other forms of marketing to execute marketing strategies across all social media channels.</li><li>Creating and editing digital marketing content when required. We have a team of designers that will support you in creating the visuals however you will need to be able to do adjustments in design (through Figma) when required.</li></ul><p><br></p><p>This position will be based in Bintaro, Tangerang Selatan.</p><p><br></p><h2><strong>Qualifications</strong></h2><p><br></p><ul><li>Graduated from a reputable university. Majoring in Communications, IT or related fields is preferred.</li><li>A plus if you are highly knowledgeable in the services provided by Dicoding.</li><li><strong>Active social media user especially on Instagram and TikTok.</strong></li><li>Tech-savvy and following trends.</li><li>Have strong knowledge about digital marketing (e.g. search engine optimization (SEO), search engine marketing (SEM), content marketing, email marketing, video marketing, and social media ads)</li><li>Has high creativity as evidenced by portfolio &amp experience in designing social media content that can engage, inform and motivate.</li><li><strong>Able to use Figma to create and edit content.</strong></li><li>Have good sensitivity in terms of identifying the target audience.</li><li>Have teamwork and time management skills.</li><li>Have strong copywriting skills.</li><li>Very good communicator.</li></ul>;one_to_three_years;1;full_time;Kota Tangerang Selatan
30;Test Lowongan;Technology;Dicoding Indonesia;<h2><strong>Deskripsi Pekerjaan</strong></h2><p><br></p><p>Sebagai [Posisi Lowongan], Anda akan berpartisipasi dalam proses pembangunan aplikasi yang sedang dibangun di dalam perusahaan [Nama Perusahaan]. Anda juga diharapkan mampu bekerja di dalam tim.</p><p><br></p><h2><strong>Responsibilities</strong></h2><p><br></p><ul><li>Membuat atau memodifikasi program yang sudah ada.</li><li>Bertanggung jawab dalam mengelola program.</li></ul>;four_to_five_years;1;part_time;Kabupaten Gunung Kidul
35;Test Lowongan 2;Technology;Dicoding Indonesia;<h2><strong>Deskripsi Pekerjaan</strong></h2><p><br></p><p>Sebagai [Posisi Lowongan], Anda akan berpartisipasi dalam proses pembangunan aplikasi yang sedang dibangun di dalam perusahaan [Nama Perusahaan]. Anda juga diharapkan mampu bekerja di dalam tim.</p><p><br></p><h2><strong>Responsibilities</strong></h2><p><br></p><ul><li>Membuat atau memodifikasi program yang sudah ada.</li><li>Bertanggung jawab dalam mengelola program.</li></ul>;four_to_five_years;1;contractual;Kota Banda Aceh
40;Test Lowongan 3;Technology;Dicoding Indonesia;<h2><strong>Deskripsi Pekerjaan</strong></h2><p><br></p><p>Sebagai [Posisi Lowongan], Anda akan berpartisipasi dalam proses pembangunan aplikasi yang sedang dibangun di dalam perusahaan [Nama Perusahaan]. Anda juga diharapkan mampu bekerja di dalam tim.</p><p><br></p><h2><strong>Responsibilities</strong></h2><p><br></p><ul><li>Membuat atau memodifikasi program yang sudah ada.</li><li>Bertanggung jawab dalam mengelola program.</li></ul>;four_to_five_years;1;contractual;Kota Banda Aceh
50;Digital Marketing Associate;Technology;Dicoding Indonesia;<h2><strong>Job Description</strong></h2><p>Test</p><p><br></p><p>You will work at Dicoding, a company that provides globally recognized online education in the IT &amp programming sector and handles various developer events together with companies such as Google, Microsoft, IBM and Line.</p><p><br></p><p>Due to the quality of its curriculum, Dicoding has been accredited as the only Google Developers Authorized Training Partner in Indonesia and has partnered with various government agencies and top companies to provide hundreds of thousands of scholarships across Indonesia.</p><p><br></p><p><strong>Dicoding is not just a workplace but a place to have the opportunity to help build Indonesia's bright future.</strong></p><p><br></p><p>We are looking for people who have the same passion!</p><p><br></p><p>As a Digital Marketing Associate for Dicoding Jobs, you will be part of a new exciting team that will market our new service in connecting digital talents (graduates of Dicoding) with hiring companies. You will be building our new social media from the ground up.</p><p><br></p><p>Your work will include,</p><ul><li>Being responsible for all matters related to the marketing and branding of the new service in the social media platform.</li><li>Being involved in all phases of social media from brainstorming, execution, and observation to gain insights.</li><li>Being the face of the new serviceâ€™s social media platform.</li><li>Developing a plan for the promotion through digital channels.</li><li>Creating marketing campaign plans on digital channels as a whole.</li><li>Creating concepts and designing the distribution of content marketing campaigns on social media.</li><li>Maintaining and increasing product customer engagement through content delivery on social media.</li><li>Providing responses to any user's engagement on social media (comments, direct message, complaints, input, etc).&nbsp</li><li>Measuring the success of marketing campaigns and showing the level of success of a campaign against the KPIs to be achieved (calculating ROI, etc.)</li><li>Conducting research to see advertising and market trends.</li><li>Ensuring content marketing goes in line with the company's marketing strategy.</li><li>Collaborating with other forms of marketing to execute marketing strategies across all social media channels.</li><li>Creating and editing digital marketing content when required. We have a team of designers that will support you in creating the visuals however you will need to be able to do adjustments in design (through Figma) when required.</li></ul><p><br></p><p>This position will be based in Bintaro, Tangerang Selatan.</p><p><br></p><h2><strong>Qualifications</strong></h2><p><br></p><ul><li>Graduated from a reputable university. Majoring in Communications, IT or related fields is preferred.</li><li>Highly knowledgeable in the services provided by Dicoding. A plus if you are a graduate of a Dicoding program (such as Bangkit, SIB, IDCamp, and others).</li><li>Active social media user especially on Instagram and TikTok.</li><li>Tech-savvy and following trends.</li><li>Have strong knowledge about digital marketing (e.g. search engine optimization (SEO), search engine marketing (SEM), content marketing, email marketing, video marketing, and social media ads)</li><li>Has high creativity as evidenced by portfolio &amp experience in designing social media content that can engage, inform and motivate.</li><li>Able to use Figma to create and edit content.</li><li>Have good sensitivity in terms of identifying the target audience.</li><li>Have teamwork and time management skills.</li><li>Have strong copywriting skills.</li><li>Very good communicator.</li></ul>;one_to_three_years;1;full_time;Kota Tangerang Selatan
90;Junior Account Executive for Dicoding Jobs - Delete;Technology;Dicoding Indonesia;"<h2><strong>Job Description</strong></h2><p><br></p><p>You will work at Dicoding, a company that provides globally recognized online education in the IT &amp programming sector and handles various developer events together with companies such as Google, Microsoft, IBM and Line.</p><p><br></p><p>Due to the quality of its curriculum, Dicoding has been accredited as the only Google Developers Authorized Training Partner in Indonesia and has partnered with various government agencies and top companies to provide hundreds of thousands of scholarships across Indonesia.</p><p><br></p><p><strong>Dicoding is not just a workplace but a place to have the opportunity to help build Indonesia's bright future.</strong></p><p><br></p><p>We are looking for people who have the same passion!</p><p><br></p><p><span style=""color: rgb(45, 45, 45)>As a </span><strong style=""color: rgb(45, 45, 45)>Junior Account Executive</strong><span style=""color: rgb(45, 45, 45)>, you will be part of a new exciting team that will connect digital talents (graduates of Dicoding) with hiring companies.</span></p><p><br></p><p>Your work will include,</p><ul><li>Developing and implementing plans to capture business opportunities and grow.</li><li>Locating and developing new accounts.</li><li>Building up strong relationships with partners and customers.</li><li>Successfully selling recruitment services.</li><li>Achieving the targets assigned by the management.</li><li>Maintaining up-to-date awareness of competitorâ€™s activities.</li><li>Organizing and handling recruiting events such as career fairs and recruiter talk-shows.</li></ul><p><br></p><p>This position will be based in Bintaro, Tangerang Selatan.</p><p><br></p><h2><strong>Qualifications</strong></h2><p><br></p><ul><li>Graduated from a reputable university. Majoring in Human Resource Management, Business or related fields is preferred.</li><li>Highly knowledgeable in the services provided by Dicoding. A plus if you are a graduate of a Dicoding program (such as Bangkit, SIB, IDCamp, and others).</li><li>A plus if you have experience as an account manager, sales rep, or business development rep.</li><li>A plus if you are experienced and knowledgeable of the tech industry and its hiring practices.</li><li>Have teamwork and time management skills.</li><li>Very good communicator.</li></ul>";one_to_three_years;1;part_time;Kota Tangerang Selatan
